weight;weight_per_square;gravity_center_x;gravity_center_y;norm_gc_x;norm_gc_y;axis_moment_x;axis_moment_y;rel_am_x;rel_am_y;norm_ax_45;norm_ax_135
211;0.4587;9.218009478672986;11.924170616113743;0.4609;0.51844;10676.786729857808;6447.971563981038;11.493;6.941;95.70709982195608;18.357087833322286;a
264;0.3188;10.700757575757576;19.424242424242426;0.46525;0.53956;25062.484848484837;11685.359848484844;13.733;6.403;80.4577397260274;26.070616438356165;b
164;0.3961;7.408536585365853;11.597560975609756;0.41159;0.50424;9055.439024390234;4975.628048780494;10.616;5.833;60.966738626940796;14.141845137677635;c
291;0.3514;11.934707903780069;21.240549828178693;0.5189;0.59002;28987.161512027527;13413.75945017181;15.883;7.35;120.62835192769383;16.686061290778138;d
194;0.4439;8.422680412371134;11.092783505154639;0.4433;0.48229;9446.329896907218;6205.340206185566;10.614;6.972;82.05339974516384;14.973543380053286;e
197;0.2814;8.131979695431472;15.624365482233502;0.4066;0.44641;20858.203045685284;3574.5685279188024;12.836;2.2;53.025824287387714;9.112802811401803;f
290;0.3821;11.10344827586207;16.4;0.48276;0.49697;27313.599999999966;11506.896551724147;16.881;7.112;115.19586547887985;21.178304420101433;g
264;0.3592;9.613636363636363;19.060606060606062;0.45779;0.54459;23291.030303030268;11096.590909090915;13.98;6.661;72.62358579795556;27.240086943868445;h
118;0.4214;4.838983050847458;20.47457627118644;0.60487;0.58499;11045.42372881355;271.94067796610165;8.569;0.211;17.244040183561033;8.890146086179005;i
148;0.2475;9.60135135135135;27.22972972972973;0.73857;0.59195;24538.18918918919;1143.479729729729;10.739;0.5;37.076867348749175;9.28524158732036;j
255;0.3168;8.51764705882353;19.894117647058824;0.37033;0.5684;24496.141176470614;7303.670588235304;13.966;4.164;54.58219867194312;23.867596753638733;k
158;0.5643;4.841772151898734;16.89873417721519;0.60522;0.48282;16974.37974683546;341.0443037974682;13.169;0.265;24.53864245661929;13.821846981763901;l
330;0.4167;18.53030303030303;9.83030303030303;0.51473;0.44683;14740.496969696944;41386.19696969694;8.281;23.251;285.0935461355126;32.60566734763367;m
207;0.4481;11.02415458937198;9.85024154589372;0.52496;0.44774;8910.357487922713;9326.879227053143;9.633;10.083;127.84672672672669;20.372685729207493;n
202;0.4182;10.103960396039604;11.202970297029703;0.48114;0.48709;9208.678217821789;10100.816831683167;9.493;10.413;106.3121159538634;18.54120649178321;o
270;0.3557;10.996296296296297;13.422222222222222;0.4781;0.40673;23093.86666666665;12050.99629629632;14.273;7.448;107.37084878450776;16.783502723984792;p
260;0.3939;11.384615384615385;14.434615384615384;0.56923;0.43741;20071.888461538456;12137.53846153847;13.48;8.151;108.43397995557152;25.3556103735083;q
127;0.3608;5.960629921259843;8.94488188976378;0.37254;0.40659;5916.614173228349;1390.8031496062974;7.995;1.879;37.255075547988895;6.884954245584162;r
152;0.4406;7.559210526315789;11.039473684210526;0.50395;0.47998;7515.763157894737;3153.467105263158;9.968;4.182;59.705666271115454;14.671776839313136;s
139;0.3861;5.223021582733813;15.726618705035971;0.43525;0.52422;9305.611510791368;634.0863309352516;8.913;0.607;23.387359078254654;10.182612530665127;t
213;0.3873;12.699530516431924;11.051643192488262;0.50798;0.50235;10212.431924882627;10076.769953051637;9.209;9.086;140.4161512507567;20.07737800412332;u
128;0.2327;11.3046875;8.546875;0.45219;0.38849;5331.71875;3557.1171875;4.808;3.207;65.78631509242561;9.244526318755636;v
264;0.3333;17.325757575757574;9.083333333333334;0.48127;0.41288;10276.166666666652;20107.98484848487;5.773;11.297;193.61716036772194;18.607763023493344;w
169;0.3658;10.988165680473372;9.236686390532544;0.49946;0.43984;7644.532544378698;4345.976331360949;8.264;4.698;98.33908843754983;15.824276347353287;x
190;0.2375;11.142105263157895;12.43157894736842;0.44568;0.38849;17604.610526315788;5809.163157894742;10.676;3.523;73.32591044013922;12.288943857521307;y
153;0.3643;10.084967320261438;9.294117647058824;0.50425;0.44258;8129.76470588235;4047.8954248366026;9.667;4.813;92.34925741997152;10.623083319732963;z
